bnless_entity_id,bnless_name,branch_suffix,bn_entity_id,bn_entity_name,bn_root,province,bn_entity_flow,bnless_entity_flow
167761,UNIVERSITY OF BRITISH COLUMBIA - UNIVERSITY INDUSTRY LIAISON OFFICE,UNIVERSITY INDUSTRY LIAISON OFFICE,8645,UNIVERSITY OF BRITISH COLUMBIA,108161779,BC,1364996271.5699997,341200.0
203403,The University of British Columbia (Kevin Hanna),Kevin Hanna,8645,UNIVERSITY OF BRITISH COLUMBIA,108161779,BC,1364996271.5699997,289960.0
162895,UNIVERSITY OF BRITISH COLUMBIA - CENTRE FOR THE STUDY OF DEMOCRATIC INSTITUTIONS,CENTRE FOR THE STUDY OF DEMOCRATIC INSTITUTIONS,8645,UNIVERSITY OF BRITISH COLUMBIA,108161779,BC,1364996271.5699997,228965.0
384022,The University of British Columbia - Faculty of Forestry,Faculty of Forestry,8645,UNIVERSITY OF BRITISH COLUMBIA,108161779,BC,1364996271.5699997,150000.0
292286,UNIVERSITY OF BRITISH COLUMBIA - GLOBAL REPORTING CENTRE,GLOBAL REPORTING CENTRE,8645,UNIVERSITY OF BRITISH COLUMBIA,108161779,BC,1364996271.5699997,68640.0
160755,University of British Columbia (INSTRCC),INSTRCC,8645,UNIVERSITY OF BRITISH COLUMBIA,108161779,BC,1364996271.5699997,50000.0
310302,THE UNIVERSITY OF BRITISH COLUMBIA (OPHTHAMOLOGY TRUST FUND),OPHTHAMOLOGY TRUST FUND,8645,UNIVERSITY OF BRITISH COLUMBIA,108161779,BC,1364996271.5699997,7000.0
369689,University of British Columbia (ISIS Research Centre),ISIS Research Centre,8645,UNIVERSITY OF BRITISH COLUMBIA,108161779,BC,1364996271.5699997,6875.0
386817,University of British Columbia (Traditional),Traditional,8645,UNIVERSITY OF BRITISH COLUMBIA,108161779,BC,1364996271.5699997,3000.0
313804,University of British Columbia - Sponsorship,Sponsorship,8645,UNIVERSITY OF BRITISH COLUMBIA,108161779,BC,1364996271.5699997,2392.0
255232,University of British Columbia - Ceremonies and Events Office,Ceremonies and Events Office,8645,UNIVERSITY OF BRITISH COLUMBIA,108161779,BC,1364996271.5699997,1200.0
125565,The Hospital for Sick Children - Suspected Child Abuse and Neglect Program,Suspected Child Abuse and Neglect Program,4593,THE HOSPITAL FOR SICK CHILDREN,107492928,ON,1271662453.0,962500.0
341711,Hospital for Sick Children Foundation - Burn Unit,Burn Unit,4593,THE HOSPITAL FOR SICK CHILDREN,107492928,ON,1271662453.0,3855.0
287290,Calgary Catholic Immigration Society - Margaret Chisholm Reception Centre (Programme d’aide au réétablissement [PAR]),Margaret Chisholm Reception Centre (Programme d’aide au réétablissement [PAR]),10647,CALGARY CATHOLIC IMMIGRATION SOCIETY,118823244,AB,1266571989.06,1840105.0
98258,Mohawk Council of Akwesasne (MCA),MCA,107695,MOHAWK COUNCIL OF AKWESASNE,107716045,QC,1265768821.3500004,299541.0
395238,Nunatsiavut Government - Restore Hebron Church,Restore Hebron Church,98077,NUNATSIAVUT GOVERNMENT,122259609,NL,1251439906.95,50000.0
315000,Nunatsiavut Government - NunaKatiget Inuit Community,NunaKatiget Inuit Community,98077,NUNATSIAVUT GOVERNMENT,122259609,NL,1251439906.95,31675.0
221280,Nunatsiavut Government - Department of Health and Social Development (DHSD),Department of Health and Social Development (DHSD),98077,NUNATSIAVUT GOVERNMENT,122259609,NL,1251439906.95,980.0
210643,MANITOBA METIS FEDERATION INC. - LAC DU BONNET LOCAL,LAC DU BONNET LOCAL,98559,Manitoba Métis Federation,107660482,MB,1248940313.39,14700.0
253151,MANITOBA METIS FEDERATION INC. - ERIKSDALE LOCAL OF MANITOBA METIS FEDERATION,ERIKSDALE LOCAL OF MANITOBA METIS FEDERATION,98559,Manitoba Métis Federation,107660482,MB,1248940313.39,11950.0
172915,Manitoba Métis Federation (Marci Riel),Marci Riel,98559,Manitoba Métis Federation,107660482,MB,1248940313.39,3500.0
196325,MANITOBA METIS FEDERATION INC. (MMF),MMF,98559,Manitoba Métis Federation,107660482,MB,1248940313.39,1510.72
238152,PETER BALLANTYNE CREE NATION - PRINCE ALBERT URBAN ADMINISTRATION,PRINCE ALBERT URBAN ADMINISTRATION,107503,PETER BALLANTYNE CREE NATION,107837023,SK,1231877559.15,10000.0
340871,NORWAY HOUSE CREE NATION (PUBLIC SECTOR BODY),PUBLIC SECTOR BODY,107388,NORWAY HOUSE CREE NATION,107787038,MB,1125847652.74,110934.0
362767,NORWAY HOUSE CREE NATION (PUBLIC SERVICE BODY),PUBLIC SERVICE BODY,107388,NORWAY HOUSE CREE NATION,107787038,MB,1125847652.74,49000.0
97264,UNHCR - United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,306308,UNHCR,108156027,ON,1716123.0,1118157000.04
263390,Polycultural Immigrant and Community Services (Toronto),Toronto,34150,POLYCULTURAL IMMIGRANT AND COMMUNITY SERVICES,136347572,ON,1111982206.5700002,4435938.0
196206,Polycultural Immigrant and Community Services (Peel),Peel,34150,POLYCULTURAL IMMIGRANT AND COMMUNITY SERVICES,136347572,ON,1111982206.5700002,2859498.0
421073,Polycultural Immigrant & Community Services (2 programs),2 programs,34150,POLYCULTURAL IMMIGRANT AND COMMUNITY SERVICES,136347572,ON,1111982206.5700002,8013.0
278570,FEDERATION OF CANADIAN MUNICIPALITIES (FCM),FCM,103783,Federation of Canadian Municipalities,118913938,ON,1108624231.38,2054530.0
287271,The Governors of the University of Calgary – Faculty of Medicine,Faculty of Medicine,8323,THE GOVERNORS OF THE UNIVERSITY OF CALGARY,108102864,AB,1090148727.0300002,134780.0
163324,GOVERNORS OF THE UNIVERSITY OF CALGARY (THE) - UNIVERSITY OF CALGARY PRESS,UNIVERSITY OF CALGARY PRESS,8323,THE GOVERNORS OF THE UNIVERSITY OF CALGARY,108102864,AB,1090148727.0300002,127549.0
428354,THE GOVERNORS OF THE UNIVERSITY OF CALGARY (DR. SUSAN KUTZ),DR. SUSAN KUTZ,8323,THE GOVERNORS OF THE UNIVERSITY OF CALGARY,108102864,AB,1090148727.0300002,74980.0
152954,Metis Nation of Alberta - Provincial Office,Provincial Office,98206,METIS NATION OF ALBERTA,129986774,AB,1023846608.59,180000.0
239042,Metis Nation Of Alberta - Local 780,Local 780,98206,METIS NATION OF ALBERTA,129986774,AB,1023846608.59,105000.0
197669,Metis Nation of Alberta - Local 87,Local 87,98206,METIS NATION OF ALBERTA,129986774,AB,1023846608.59,95000.0
166130,Metis Nation of Alberta - Local 1880,Local 1880,98206,METIS NATION OF ALBERTA,129986774,AB,1023846608.59,95000.0
283917,METIS NATION OF ALBERTA - ZONE 1,ZONE 1,98206,METIS NATION OF ALBERTA,129986774,AB,1023846608.59,30000.0
157126,Métis Nation of Alberta - Region 4,Region 4,98206,METIS NATION OF ALBERTA,129986774,AB,1023846608.59,15000.0
105106,Métis Nation of Alberta – Region 3 (in Trust to Apeiron Environment Ltd.),Region 3 (in Trust to Apeiron Environment Ltd.),98206,METIS NATION OF ALBERTA,129986774,AB,1023846608.59,12000.0
172953,Métis Nation of Alberta - Local #845,Local #845,98206,METIS NATION OF ALBERTA,129986774,AB,1023846608.59,12000.0
169813,Métis Nation of Alberta - Region 6,Region 6,98206,METIS NATION OF ALBERTA,129986774,AB,1023846608.59,10000.0
268062,Métis Nation of Alberta - Métis Local #1994 of Grande Cache (Mountain Métis Nation Association),Métis Local #1994 of Grande Cache (Mountain Métis Nation Association),98206,METIS NATION OF ALBERTA,129986774,AB,1023846608.59,5000.0
268063,Métis Nation of Alberta - Region 5 (MNA Zone 5 Economic Development Corporation),Region 5 (MNA Zone 5 Economic Development Corporation),98206,METIS NATION OF ALBERTA,129986774,AB,1023846608.59,5000.0
273533,Metis Nation of Alberta - Council of Grande Prairie Local 1990,Council of Grande Prairie Local 1990,98206,METIS NATION OF ALBERTA,129986774,AB,1023846608.59,5000.0
221314,Métis Nation of Alberta - Region 2 (Zone II Regional Council of the Metis Nation of Alberta),Region 2 (Zone II Regional Council of the Metis Nation of Alberta),98206,METIS NATION OF ALBERTA,129986774,AB,1023846608.59,5000.0
298790,METIS NATION OF ALBERTA ASSOCIATION - NEKINAN,NEKINAN,98206,METIS NATION OF ALBERTA,129986774,AB,1023846608.59,1920.0
335414,Calgary Homeless Foundation (Acadia Place),Acadia Place,62545,CALGARY HOMELESS FOUNDATION,880846829,AB,971999141.0,36246.0
333878,Vancouver - Burrard Presbytery,Burrard Presbytery,24962,VANCOUVER FOUNDATION,119281640,BC,971140221.0,969.0
189699,National Aboriginal Capital Corporations Association (NACCA),NACCA,107879,NATIONAL ABORIGINAL CAPITAL CORPORATIONS ASSOCIATION,817178309,ON,961438832.1999999,560000.0
387813,JEWISH FOUNDATION OF GREATER TORONTO (FOR SCHOLARSHIPS),FOR SCHOLARSHIPS,8594,Jewish Foundation of Greater Toronto,108155797,ON,918196273.0,100000.0
242130,University of Saskatchewan (VIDO),VIDO,24882,UNIVERSITY OF SASKATCHEWAN,119279313,SK,869248954.93,49000000.0
397184,JEWISH FOUNDATION OF GREATER TORONTO (FOR CAMPS),FOR CAMPS,8594,Jewish Foundation of Greater Toronto,108155797,ON,918196273.0,50000.0
402224,INNU TAKUAIKAN UASHAT MAK MANI-UTENAM (ITUM),ITUM,107795,INNU TAKUAIKAN UASHAT MAK MANI-UTENAM,106969439,QC,915776679.45,50000.0
231889,University of Saskatchewan - University of Saskatchewan,University of Saskatchewan,24882,UNIVERSITY OF SASKATCHEWAN,119279313,SK,869248954.93,24938144.0
107444,University of Saskatchewan - Continuing Education and Development For Nurses,Continuing Education and Development For Nurses,24882,UNIVERSITY OF SASKATCHEWAN,119279313,SK,869248954.93,902760.0
199070,UNIVERSITY OF SASKATCHEWAN - THE RIGHT HONOURABLE JOHN G. DIEFENBAKER CENTRE FOR THE STUDY OF CANADA,THE RIGHT HONOURABLE JOHN G. DIEFENBAKER CENTRE FOR THE STUDY OF CANADA,24882,UNIVERSITY OF SASKATCHEWAN,119279313,SK,869248954.93,103346.0
238012,UNIVERSITY OF SASKATCHEWAN - JOHNSON SHOYAMA GRADUATE SCHOOL OF PUBLIC POLICY,JOHNSON SHOYAMA GRADUATE SCHOOL OF PUBLIC POLICY,24882,UNIVERSITY OF SASKATCHEWAN,119279313,SK,869248954.93,92287.0
