source_id,jurisdiction,discovery_source,legal_name,trade_names,address,postal,city,legal_form,charity_status,matched_bn,matched_cra_name,charity_match_score,charity_runner_up_score,charity_match_method,social_status,social_signal,social_match_score,federal_grant_status,matched_grant_entity_id,matched_grant_entity_name,federal_grant_match_score,federal_grant_runner_up_score,federal_grants_received,federal_dollars_received,review_flag,discovery_snapshot_date,cra_snapshot_date,grants_snapshot_date
10444758,QC,corporations_canada,CENTRE CULTUREL LIBANAIS,,603 ROBERT-ÉLIE,H7N3Y9,LAVAL,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,51.28205128205128,,,,,,needs_review,330954,Centre culturel d'Orléans,78.78787878787878,72.22222222222221,1,49158.0,mid_band_score,,,
14690885,AB,corporations_canada,the Canadian Youth Delegation Association,l'Association canadienne des jeunes délégués,2019 Cameron Ravine Way,T6M0L9,Edmonton,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,53.73134328358209,,,,,,needs_review,262622,The Canadian Youth Ensemble,75.0,75.0,1,50000.0,mid_band_score,,,
15094453,AB,corporations_canada,Global Vision Initiative Foundation,,1131 49A Street NW,T6L4C5,Edmonton,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,46.666666666666664,,,,,,needs_review,289918,Global Unity Initiative,80.85106382978724,70.27027027027026,2,44750.0,mid_band_score,,,
15040671,QC,corporations_canada,VUCA Healthcare Solutions,,130-5645 boul Grande Allée,J4Z3G3,Brossard,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,35.29411764705882,,,,,,needs_review,,,,,,,no_blocking_key,,,
14630068,AB,corporations_canada,Canadian Indigenous Nuclear Association Inc.,,4511 Dalhart Road Northwest,T3A1B9,Calgary,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,55.88235294117647,,,,,,needs_review,125234,CANADIAN INDIGENOUS NURSES ASSOCIATION,86.79245283018868,85.18518518518519,7,2687390.98,mid_band_score,,,
14539508,AB,corporations_canada,Mimoza Foundation,,3811 85 Street Northwest,T6K4C7,Edmonton,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,30.000000000000004,,,,,,needs_review,370515,MIMOKAP INC.,76.92307692307692,50.0,1,50000.0,mid_band_score,,,
15018439,ON,corporations_canada,LA ASSOCIATION FOUNDATION,,3 Louisburg Crescent,L6X0E5,Brampton,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,31.372549019607842,,,,,,needs_review,,,,,,,no_blocking_key,,,
15036739,ON,corporations_canada,TLC Foundation,Fondation de CTV,156 Cleopatra Drive,K2G5X4,Ottawa,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,31.57894736842105,,,,,,needs_review,,,,,,,no_blocking_key,,,
14640756,ON,corporations_canada,14640756 Canada Association,,3416 Martins Pine Crescent,L5L1G4,Mississauga,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,0,,,,,,needs_review,266654,1464007 B.C. Ltd.,80.0,50.0,1,150000.0,mid_band_score,,,
389421,ON,corporations_canada,Canadian Society of Orthopaedic Technologists,,6-20 Crown Steel Drive,L3R9X9,Markham,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,58.46153846153845,,,,,,needs_review,246806,Canadian Association of Radiologists,76.36363636363637,75.0,1,4509.0,mid_band_score,,,
