source_id,jurisdiction,discovery_source,legal_name,trade_names,address,postal,city,legal_form,charity_status,matched_bn,matched_cra_name,charity_match_score,charity_runner_up_score,charity_match_method,social_status,social_signal,social_match_score,federal_grant_status,matched_grant_entity_id,matched_grant_entity_name,federal_grant_match_score,federal_grant_runner_up_score,federal_grants_received,federal_dollars_received,review_flag,discovery_snapshot_date,cra_snapshot_date,grants_snapshot_date
36536,QC,corporations_canada,CANADIAN CENTRE FOR ARCHITECTURE,CENTRE CANADIEN D'ARCHITECTURE,"1920, BAILE STREET",H3H2S6,MONTREAL,Canada Not-for-profit Corporations Act,needs_review,118830009,CANADIAN CENTRE FOR ARCHITECTURE / CENTRE CANADIEN D'ARCHITECTURE,100.0,,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
2632209,ON,corporations_canada,AMERICAN SOCIETY OF OVERSEAS RESEARCH IN CANADA,SOCIÉTÉ AMÉRICAINE POUR LA RECHERCHE À L'ÉTRANGER AU CANADA,4 BANCROFT AVENUE,M5S1C1,TORONTO,Canada Not-for-profit Corporations Act,needs_review,891631269,AMERICAN SOCIETY OF OVERSEAS RESEARCH IN CANADA / SOCIÉTÉ AMÉRICAINE POUR LA RECHERCHE À L'ÉTRANGER AU CANADA,100.0,41.93548387096774,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
8390193,ON,corporations_canada,Steelworkers Humanity Support Fund Inc.,Le Fond De Soutien Humanitaire Des Métallos Inc.,234 EGLINTON AVENUE EAST,M4P1K7,TORONTO,Canada Not-for-profit Corporations Act,needs_review,119172278,STEELWORKERS HUMANITY FUND INC,86.66666666666667,,fuzzy,,,,,,,,,,,mid_band_score,,,
2241978,BC,corporations_canada,"Vancouver Christian Centre Ministries, Inc.",,"12161, 59th AVENUE",V3X3L4,SURREY,Canada Not-for-profit Corporations Act,needs_review,129815437,VANCOUVER CHRISTIAN CENTRE MINISTRIES INC,100.0,58.82352941176471,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
343587,ON,corporations_canada,CANADA BASKETBALL,,1 WESTSIDE DRIVE,M9C1B2,TORONTO,Canada Not-for-profit Corporations Act,needs_review,892546540,Canada Basketball Foundation,100.0,22.22222222222222,fuzzy,,,,federal_grant_match,112207,CANADA BASKETBALL,100.0,,49,31079383.0,bn_contradicts_fuzzy_match,,,
3429709,ON,corporations_canada,Guelph Bible Conference Centre,,485 WATERLOO AVENUE,N1H3K4,GUELPH,Canada Not-for-profit Corporations Act,needs_review,107456808,GUELPH BIBLE CONFERENCE CENTRE,100.0,,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
3951758,ON,corporations_canada,SLEEPING CHILDREN AROUND THE WORLD,,28 PINEHURST CRESCENT,M9A3A5,TORONTO,Canada Not-for-profit Corporations Act,needs_review,131634396,SLEEPING CHILDREN AROUND THE WORLD,100.0,,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
2498693,ON,corporations_canada,CCL - CHRISTIAN COMMUNICATION INCORPORATED,,2 & 3 - 3880 MIDLAND AVENUE,M1V5K4,TORONTO,Canada Not-for-profit Corporations Act,needs_review,125014159,CCL - CHRISTIAN COMMUNICATION INCORPORATED,100.0,96.2962962962963,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
357791,BC,corporations_canada,Chilliwack Flying Club,,46200 AIRPORT ROAD,V2P1A5,CHILLIWACK,Canada Not-for-profit Corporations Act,needs_review,886264191,THE CHILLIWACK PLOWING SOCIETY,85.71428571428572,83.33333333333334,fuzzy,,,,,,,,,,,mid_band_score,,,
4191935,MB,corporations_canada,CHRIST FULL GOSPEL FELLOWSHIP,,75 ELM STREET,R0G1R0,PLUM COULEE,Canada Not-for-profit Corporations Act,needs_review,138603105,CHRIST FULL GOSPEL FELLOWSHIP,100.0,60.86956521739131,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
4325036,ON,corporations_canada,HARI KRISHAN PUBLICATION,,6300 MISSISSAUGA ROAD,L5N1A7,MISSISSAUGA,Canada Not-for-profit Corporations Act,needs_review,887324036,HARI KRISHAN PUBLICATION,100.0,,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
9160841,ON,corporations_canada,Canada Day Barrhaven Inc.,,18 Pepperrall Crescent,K2J3V8,Ottawa,Canada Not-for-profit Corporations Act,needs_review,806436416,BarrhavenRun.ca,78.57142857142857,75.86206896551724,fuzzy,,,,federal_grant_match,127167,CANADA DAY BARRHAVEN INC.,100.0,,10,137354.0,mid_band_score,,,
3377016,ON,corporations_canada,BELMONT METHUEN AND HAVELOCK HISTORICAL SOCIETY,,"RR.#3, 8706 COUNTY ROAD 50",K0L1Z0,HAVELOCK,Canada Not-for-profit Corporations Act,needs_review,888061942,BELMONT-METHUEN AND HAVELOCK HISTORICAL SOCIETY,100.0,64.0,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
2140799,ON,corporations_canada,RPSC PHILATELIC RESEARCH FOUNDATION,,10 SUMMERHILL AVENUE,M4T1A8,TORONTO,Canada Not-for-profit Corporations Act,needs_review,887979649,R P S C PHILATELIC RESEARCH FOUNDATION,88.37209302325581,64.61538461538461,fuzzy,,,,,,,,,,,mid_band_score,,,
3331822,PE,corporations_canada,Charlottetown Airport Authority Inc.,,65 Grafton Street,C1A1K8,Charlottetown,Canada Not-for-profit Corporations Act,needs_review,892991969,BIRTHRIGHT OF CHARLOTTETOWN  P.E.I.  INC.,76.36363636363637,65.51724137931035,fuzzy,,,,federal_grant_match,121352,Charlottetown Airport Authority Inc.,100.0,,18,24683210.0,mid_band_score,,,
2383080,ON,corporations_canada,THE NATIONAL CAPITAL SUZUKI SCHOOL OF MUSIC,,2 DALY AVENUE,K1N6E2,OTTAWA,Canada Not-for-profit Corporations Act,needs_review,892776378,THE NATIONAL CAPITAL SUZUKI SCHOOL OF MUSIC,100.0,43.83561643835616,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
3982653,ON,corporations_canada,Bochasanwasi Shri Akshar Purushottam Swaminarayan Sanstha Mandir Development Inc.,,61 Claireville Drive,M9W5Z7,Toronto,Canada Not-for-profit Corporations Act,needs_review,868987710,BOCHASANWASI SHRI AKSHAR PURUSHOTTAM SWAMINARAYAN SANSTHA MANDIR DEVELOPMENT INC.,100.0,87.5,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
1959191,ON,corporations_canada,J & P LANG FAMILY CHARITABLE FOUNDATION,,460 WYCROFT ROAD,L6K2G7,OAKVILLE,Canada Not-for-profit Corporations Act,needs_review,886601798,J & P Lang Family Charitable Foundation,100.0,,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
4297440,ON,corporations_canada,"The Redeemed Christian Church of God, Canada (RCCG Canada)",,UNIT 7- 139 DEVON ROAD,L6T5L8,BRAMPTON,Canada Not-for-profit Corporations Act,needs_review,867372567,The Redeemed Christian Church of God  Canada (RCCG Canada),100.0,41.860465116279066,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
3173682,ON,corporations_canada,The Church At Selwyn,,2686 LAKEFIELD ROAD,K9J6X5,SELWYN,Canada Not-for-profit Corporations Act,needs_review,132152786,THE CHURCH AT SELWYN,100.0,33.333333333333336,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
1202120,QC,corporations_canada,LA FONDATION INTERNATIONALE ANDRE GILBERT INC.,,4010 RUE SAINTE-CATHERINE,H3Z1P2,MONTREAL,Canada Not-for-profit Corporations Act,needs_review,143162519,LA FONDATION INTERNATIONALE ANDRÉ GILBERT INC,100.0,,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
4256565,ON,corporations_canada,Greater Toronto Jewish Federation New Ventures,,4600 BATHURST STREET,M2R3V2,TORONTO,Canada Not-for-profit Corporations Act,needs_review,108155797,Jewish Foundation of Greater Toronto,77.19298245614034,73.23943661971832,fuzzy,,,,,,,,,,,mid_band_score,,,
2434253,ON,corporations_canada,GLOBAL AMBASSADORS,,6232 OLD HOMESTEAD RD.,L0E1R0,SUTTON WEST,Canada Not-for-profit Corporations Act,needs_review,891432643,GLOBAL AMBASSADORS,100.0,35.89743589743589,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
4406931,QC,corporations_canada,LA FONDATION ÉDUCATIVE DE LA COMMISSION SCOLAIRE ENGLISH-MONTRÉAL,THE ENGLISH MONTREAL SCHOOL BOARD EDUCATION FOUNDATION,6000 FIELDING AVENUE,H3X1T4,MONTREAL,Canada Not-for-profit Corporations Act,needs_review,142423896,English-Montreal School Board/Commission Scolaire English-Montreal,84.375,,fuzzy,,,,,,,,,,,mid_band_score,,,
344991,AB,corporations_canada,Canadian Cattle Association,,"180, 6815 -  8TH STREET NE",T2E7H7,CALGARY,Canada Not-for-profit Corporations Act,needs_review,803857085,Canadian Cattle Foundation,100.0,34.61538461538461,fuzzy,,,,federal_grant_match,97305,Canadian Cattlemen's Association,100.0,,24,27533527.0,bn_contradicts_fuzzy_match,,,
2927845,ON,corporations_canada,CPAC,,4150 FINCH AVENUE EAST,M1S3T9,TORONTO,Canada Not-for-profit Corporations Act,needs_review,864306626,CPAC FOUNDATION,100.0,16.000000000000004,fuzzy,,,,federal_grant_match,248910,CPAC,100.0,,7,164560.0,bn_contradicts_fuzzy_match,,,
2617579,AB,corporations_canada,Canadian Neurological Sciences Federation,Fédération des sciences neurologiques du Canada,8500 Macleod Trail SE,T2H2N1,CALGARY,Canada Not-for-profit Corporations Act,needs_review,105201156,Neurological Sciences Foundation of Canada Inc.,83.72093023255813,46.808510638297875,fuzzy,,,,,,,,,,,mid_band_score,,,
3132641,BC,corporations_canada,Community Futures Development Corporation of Cariboo-Chilcotin,,123 BORLAND STREET,V2G1R1,WILLIAMS LAKE,Canada Not-for-profit Corporations Act,needs_review,118838481,CARIBOO CHILCOTIN CHILD DEVELOPMENT CENTRE ASSOCIATION,78.04878048780488,62.7906976744186,fuzzy,,,,federal_grant_match,176852,Community Futures Development Corporation of Cariboo-Chilcotin I Société d'aide au développement des collectivités de Cariboo-Chilcotin ,100.0,,2,1670775.0,mid_band_score,,,
