category,recipient_legal_name,business_number,city,province,n_grants,total_cad,first_year,last_year,example_funder,receipt_description_snippet,receipt_ref_number,entity_id,match_method,entity_kind,bn_root,latest_revenue,fiscal_period_end
supportive_housing,The Downtown Eastside Youth Activities Society,,Vancouver,BC,1,31849.0,2007,2007,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q4-00169,214809,unmatched_new,other_org,,,
emergency_shelter,The Downtown Eastside Youth Activities Society,,Vancouver,BC,1,31849.0,2007,2007,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q4-00169,214809,unmatched_new,other_org,,,
supportive_housing,Les Habitations Oasis de Pointe St-Charles Inc.,,Montréal,QC,1,31700.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q3-00292,245914,unmatched_new,other_org,,,
emergency_shelter,Les Habitations Oasis de Pointe St-Charles Inc.,,Montréal,QC,1,31700.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q3-00292,245914,unmatched_new,other_org,,,
supportive_housing,Canada Mental Health Association,,Thunder Bay,ON,1,31667.0,2007,2007,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q4-00099,316675,unmatched_new,other_org,,,
emergency_shelter,Canada Mental Health Association,,Thunder Bay,ON,1,31667.0,2007,2007,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q4-00099,316675,unmatched_new,other_org,,,
supportive_housing,Family Futures Inc.,,Prince Albert,SK,1,31500.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00050,146258,unmatched_new,other_org,,,
emergency_shelter,Family Futures Inc.,,Prince Albert,SK,1,31500.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00050,146258,unmatched_new,other_org,,,
supportive_housing,T. R. Underwood Engineering Ltd.,,Kamloops,BC,1,30750.0,2007,2007,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q4-00005,189533,unmatched_new,other_org,,,
emergency_shelter,T. R. Underwood Engineering Ltd.,,Kamloops,BC,1,30750.0,2007,2007,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q4-00005,189533,unmatched_new,other_org,,,
supportive_housing,Stella Burry Community Services,,St. John's,NL,1,30166.0,2007,2007,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q4-00378,146285,unmatched_new,other_org,,,
emergency_shelter,Stella Burry Community Services,,St. John's,NL,1,30166.0,2007,2007,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q4-00378,146285,unmatched_new,other_org,,,
supportive_housing,The Salvation Army North Vancouver Community Ministries,,North Vancouver,BC,1,30000.0,2007,2007,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q4-00159,202664,unmatched_new,other_org,,,
supportive_housing,Souls Harbour Mission House,,Regina,SK,1,30000.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00097,318959,unmatched_new,other_org,,,
supportive_housing,OPTIONS: Services to Communities Society,,Surrey,BC,1,30000.0,2007,2007,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q4-00197,146231,unmatched_new,other_org,,,
emergency_shelter,Souls Harbour Mission House,,Regina,SK,1,30000.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00097,318959,unmatched_new,other_org,,,
emergency_shelter,The Salvation Army North Vancouver Community Ministries,,North Vancouver,BC,1,30000.0,2007,2007,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q4-00159,202664,unmatched_new,other_org,,,
emergency_shelter,OPTIONS: Services to Communities Society,,Surrey,BC,1,30000.0,2007,2007,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q4-00197,146231,unmatched_new,other_org,,,
supportive_housing,La Tablée populaire,,Drummondville,QC,1,29867.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2005-Q4-00015,202677,unmatched_new,other_org,,,
emergency_shelter,La Tablée populaire,,Drummondville,QC,1,29867.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2005-Q4-00015,202677,unmatched_new,other_org,,,
supportive_housing,Travail de Rue Île de Laval,,Laval,QC,1,28740.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00238,63327,exact_bn,charity,884219825,1394141.0,2024-03-31
emergency_shelter,Travail de Rue Île de Laval,,Laval,QC,1,28740.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00238,63327,exact_bn,charity,884219825,1394141.0,2024-03-31
supportive_housing,The synod of the Diocèse of Mtl,,Montréal,QC,1,28431.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q3-00001,214799,unmatched_new,other_org,,,
emergency_shelter,The synod of the Diocèse of Mtl,,Montréal,QC,1,28431.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q3-00001,214799,unmatched_new,other_org,,,
supportive_housing,"Elizabeth Fry Society of Manitoba, Inc.",,Winnipeg,MB,1,28075.0,2007,2007,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q4-00004,209697,unmatched_new,other_org,,,
emergency_shelter,"Elizabeth Fry Society of Manitoba, Inc.",,Winnipeg,MB,1,28075.0,2007,2007,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q4-00004,209697,unmatched_new,other_org,,,
supportive_housing,Abri de la Rive-Sud,,Longueuil,QC,1,28000.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00188,150929,unmatched_new,other_org,,,
emergency_shelter,Abri de la Rive-Sud,,Longueuil,QC,1,28000.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00188,150929,unmatched_new,other_org,,,
supportive_housing,New Direction for Life Ministries Canada,,Winnipeg,MB,1,27124.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00257,202651,unmatched_new,other_org,,,
emergency_shelter,New Direction for Life Ministries Canada,,Winnipeg,MB,1,27124.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00257,202651,unmatched_new,other_org,,,
supportive_housing,L'Antre-Temps Longueuil,,Longueuil,QC,1,26326.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00187,146886,unmatched_new,other_org,,,
emergency_shelter,L'Antre-Temps Longueuil,,Longueuil,QC,1,26326.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00187,146886,unmatched_new,other_org,,,
supportive_housing,Action séro zéro,,Montréal,QC,1,25980.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q3-00044,241207,unmatched_new,other_org,,,
